,Word,Term Frequency
0,find,0.03260869565217391
1,far,0.021739130434782608
2,remain,0.021739130434782608
3,crash,0.021739130434782608
4,site,0.021739130434782608
5,china,0.021739130434782608
6,plane,0.021739130434782608
7,team,0.021739130434782608
8,say,0.021739130434782608
9,search,0.010869565217391304
10,circumstances,0.010869565217391304
11,difficult,0.010869565217391304
12,box,0.010869565217391304
13,black,0.010869565217391304
14,crucial,0.010869565217391304
15,first,0.010869565217391304
16,beijing,0.010869565217391304
17,analyse,0.010869565217391304
18,data,0.010869565217391304
19,heavy,0.010869565217391304
20,send,0.010869565217391304
21,officials,0.010869565217391304
22,fine,0.010869565217391304
23,appear,0.010869565217391304
24,wednesday,0.010869565217391304
25,recovery,0.010869565217391304
26,rain,0.010869565217391304
27,hundreds,0.010869565217391304
28,personal,0.010869565217391304
29,char,0.010869565217391304
30,debris,0.010869565217391304
31,scatter,0.010869565217391304
32,also,0.010869565217391304
33,volunteer,0.010869565217391304
34,rescuers,0.010869565217391304
35,harder,0.010869565217391304
36,flood,0.010869565217391304
37,efforts,0.010869565217391304
38,make,0.010869565217391304
39,wuzhou,0.010869565217391304
40,landscape,0.010869565217391304
41,rugged,0.010869565217391304
42,internal,0.010869565217391304
43,steep,0.010869565217391304
44,record,0.010869565217391304
45,intact,0.010869565217391304
46,outside,0.010869565217391304
47,damage,0.010869565217391304
48,people,0.010869565217391304
49,sign,0.010869565217391304
50,victims,0.010869565217391304
51,number,0.010869565217391304
52,declare,0.010869565217391304
53,yet,0.010869565217391304
54,authorities,0.010869565217391304
55,media,0.010869565217391304
56,state,0.010869565217391304
57,week,0.010869565217391304
58,mountains,0.010869565217391304
59,plunge,0.010869565217391304
60,jet,0.010869565217391304
61,eastern,0.010869565217391304
62,human,0.010869565217391304
63,board,0.010869565217391304
64,survive,0.010869565217391304
65,investigators,0.010869565217391304
66,hop,0.010869565217391304
67,clue,0.010869565217391304
68,yield,0.010869565217391304
69,recover,0.010869565217391304
70,recorder,0.010869565217391304
71,voice,0.010869565217391304
72,cockpit,0.010869565217391304
73,monday,0.010869565217391304
74,still,0.010869565217391304
75,southern,0.010869565217391304
76,dive,0.010869565217391304
77,nearvertical,0.010869565217391304
78,enter,0.010869565217391304
79,suddenly,0.010869565217391304
80,know,0.010869565217391304
81,belong,0.010869565217391304
