,Word,TF-IDF
0,site,0.021739130434782608
1,crash,0.021739130434782608
2,china,0.021739130434782608
3,remain,0.021739130434782608
4,plane,0.021739130434782608
5,team,0.01519500009426128
6,far,0.01519500009426128
7,find,0.012976304630609921
8,survive,0.010869565217391304
9,jet,0.010869565217391304
10,heavy,0.010869565217391304
11,suddenly,0.010869565217391304
12,intact,0.010869565217391304
13,efforts,0.010869565217391304
14,recorder,0.010869565217391304
15,rescuers,0.010869565217391304
16,analyse,0.010869565217391304
17,harder,0.010869565217391304
18,debris,0.010869565217391304
19,plunge,0.010869565217391304
20,enter,0.010869565217391304
21,monday,0.010869565217391304
22,fine,0.010869565217391304
23,yield,0.010869565217391304
24,flood,0.010869565217391304
25,scatter,0.010869565217391304
26,media,0.010869565217391304
27,belong,0.010869565217391304
28,circumstances,0.010869565217391304
29,officials,0.010869565217391304
30,crucial,0.010869565217391304
31,voice,0.010869565217391304
32,state,0.010869565217391304
33,mountains,0.010869565217391304
34,char,0.010869565217391304
35,internal,0.010869565217391304
36,recovery,0.010869565217391304
37,record,0.010869565217391304
38,rugged,0.010869565217391304
39,cockpit,0.010869565217391304
40,eastern,0.010869565217391304
41,clue,0.010869565217391304
42,landscape,0.010869565217391304
43,declare,0.010869565217391304
44,rain,0.010869565217391304
45,week,0.010869565217391304
46,personal,0.010869565217391304
47,volunteer,0.010869565217391304
48,wuzhou,0.010869565217391304
49,steep,0.010869565217391304
50,board,0.010869565217391304
51,search,0.010869565217391304
52,victims,0.010869565217391304
53,southern,0.010869565217391304
54,difficult,0.010869565217391304
55,beijing,0.010869565217391304
56,investigators,0.010869565217391304
57,nearvertical,0.010869565217391304
58,dive,0.010869565217391304
59,number,0.010869565217391304
60,recover,0.010869565217391304
61,hop,0.010869565217391304
62,authorities,0.010869565217391304
63,wednesday,0.010869565217391304
64,sign,0.010869565217391304
65,box,0.010869565217391304
66,send,0.010869565217391304
67,hundreds,0.00759750004713064
68,black,0.00759750004713064
69,yet,0.00759750004713064
70,appear,0.00759750004713064
71,human,0.00759750004713064
72,damage,0.00759750004713064
73,outside,0.00759750004713064
74,first,0.005683464622612365
75,people,0.005683464622612365
76,data,0.005683464622612365
77,still,0.004325434876869974
78,say,0.0033674339127335476
