,Word,TF-IDF
0,energy,0.034482758620689655
1,would,0.027586206896551724
2,heat,0.027586206896551724
3,save,0.020689655172413793
4,speed,0.014461448365572803
5,run,0.014461448365572803
6,pump,0.013793103448275862
7,cut,0.013793103448275862
8,want,0.013793103448275862
9,boilers,0.013793103448275862
10,gas,0.013793103448275862
11,reduce,0.013793103448275862
12,government,0.013793103448275862
13,hit,0.013793103448275862
14,crisis,0.009640965577048535
15,could,0.008304275742454653
16,might,0.007212120624556381
17,prevent,0.006896551724137931
18,accept,0.006896551724137931
19,challenge,0.006896551724137931
20,others,0.006896551724137931
21,urgent,0.006896551724137931
22,electricity,0.006896551724137931
23,replace,0.006896551724137931
24,degree,0.006896551724137931
25,hob,0.006896551724137931
26,campaign,0.006896551724137931
27,thermostat,0.006896551724137931
28,top,0.006896551724137931
29,libertarian,0.006896551724137931
30,slogans,0.006896551724137931
31,draught,0.006896551724137931
32,pm,0.006896551724137931
33,insulation,0.006896551724137931
34,agency,0.006896551724137931
35,comfortable,0.006896551724137931
36,nobrainer,0.006896551724137931
37,effective,0.006896551724137931
38,analysts,0.006896551724137931
39,import,0.006896551724137931
40,brake,0.006896551724137931
41,home,0.006896551724137931
42,wind,0.006896551724137931
43,sale,0.006896551724137931
44,installations,0.006896551724137931
45,urge,0.006896551724137931
46,persuade,0.006896551724137931
47,basic,0.006896551724137931
48,international,0.006896551724137931
49,small,0.006896551724137931
50,british,0.006896551724137931
51,smoothlytrains,0.006896551724137931
52,phase,0.006896551724137931
53,installers,0.006896551724137931
54,everyone,0.006896551724137931
55,tackle,0.006896551724137931
56,employ,0.006896551724137931
57,empty,0.006896551724137931
58,case,0.006896551724137931
59,demand,0.006896551724137931
60,efficient,0.006896551724137931
61,foundation,0.006896551724137931
62,set,0.006896551724137931
63,cheeky,0.006896551724137931
64,rac,0.006896551724137931
65,electric,0.006896551724137931
66,sausage,0.006896551724137931
67,chain,0.006896551724137931
68,accelerate,0.006896551724137931
69,friend,0.006896551724137931
70,youre,0.006896551724137931
71,mph,0.006896551724137931
72,difference,0.006896551724137931
73,oil,0.006896551724137931
74,emissions,0.006896551724137931
75,public,0.006896551724137931
76,room,0.006896551724137931
77,immediately,0.006896551724137931
78,poor,0.006896551724137931
79,door,0.006896551724137931
80,fewer,0.006896551724137931
81,bath,0.006896551724137931
82,excluder,0.006896551724137931
83,quick,0.006896551724137931
84,resist,0.006896551724137931
85,trip,0.006896551724137931
86,draughtproofing,0.006896551724137931
87,farm,0.006896551724137931
88,make,0.00622820680684099
89,like,0.005488827705821208
90,cost,0.004820482788524268
91,rapidly,0.004820482788524268
92,easy,0.004820482788524268
93,restrictions,0.004820482788524268
94,turn,0.004820482788524268
95,require,0.004820482788524268
96,cars,0.004820482788524268
97,generate,0.004820482788524268
98,increase,0.004820482788524268
99,another,0.004820482788524268
100,supply,0.004820482788524268
101,service,0.004820482788524268
102,limit,0.004820482788524268
103,power,0.004820482788524268
104,carbon,0.004820482788524268
105,one,0.0036060603122781906
106,need,0.002744413852910604
107,new,0.002744413852910604
108,many,0.002744413852910604
109,even,0.002744413852910604
110,say,0.002136578758424044
111,use,0.0020760689356136633
112,rid,0.0
113,water,0.0
114,kiana,0.0
115,fibre,0.0
116,momentum,0.0
117,big,0.0
118,smoothly,0.0
119,sport,0.0
120,thats,0.0
121,sufficient,0.0
122,foilboards,0.0
123,business,0.0
124,thrill,0.0
125,better,0.0
126,masts,0.0
127,rivers,0.0
128,extend,0.0
129,carbonfibre,0.0
130,underside,0.0
131,downwards,0.0
132,fores,0.0
133,move,0.0
134,sea,0.0
135,hydrofoil,0.0
136,world,0.0
137,extra,0.0
138,rod,0.0
139,stand,0.0
140,electricpowered,0.0
141,wave,0.0
142,surfer,0.0
143,foilboard,0.0
144,surf,0.0
145,lakes,0.0
146,long,0.0
147,user,0.0
148,almost,0.0
149,former,0.0
150,push,0.0
151,ft,0.0
152,professional,0.0
153,underwater,0.0
154,surfers,0.0
155,rider,0.0
156,million,0.0
157,surfboard,0.0
158,seas,0.0
159,appear,0.0
160,oahu,0.0
161,give,0.0
162,fly,0.0
163,wing,0.0
164,technology,0.0
165,industry,0.0
166,mean,0.0
167,bigger,0.0
168,lift,0.0
169,mast,0.0
170,increasingly,0.0
171,team,0.0
172,track,0.0
173,context,0.0
174,part,0.0
175,tactics,0.0
